
Report for ../Lab1Assigment1/knapsack-20.txt

Checking for logarithmic cooling different values
iterations=5, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=65 => result=562
iterations=5, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=65 => result=514
iterations=5, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=65 => result=560
iterations=5, T_max=100, T_min=0.1, alpha=0.999, neighbours checked=65 => result=568
iterations=5, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=75 => result=596
iterations=5, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=75 => result=546
iterations=5, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=75 => result=618
iterations=5, T_max=100, T_min=0.01, alpha=0.999, neighbours checked=75 => result=637
iterations=5, T_max=100, T_min=0.001, alpha=0.9, neighbours checked=85 => result=582
iterations=5, T_max=100, T_min=0.001, alpha=0.95, neighbours checked=85 => result=525
iterations=5, T_max=100, T_min=0.001, alpha=0.99, neighbours checked=85 => result=627
iterations=5, T_max=100, T_min=0.001, alpha=0.999, neighbours checked=85 => result=480
iterations=5, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=75 => result=574
iterations=5, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=75 => result=563
iterations=5, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=75 => result=578
iterations=5, T_max=1000, T_min=0.1, alpha=0.999, neighbours checked=75 => result=575
iterations=5, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=85 => result=557
iterations=5, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=85 => result=606
iterations=5, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=85 => result=564
iterations=5, T_max=1000, T_min=0.01, alpha=0.999, neighbours checked=85 => result=564
iterations=5, T_max=1000, T_min=0.001, alpha=0.9, neighbours checked=95 => result=607
iterations=5, T_max=1000, T_min=0.001, alpha=0.95, neighbours checked=95 => result=521
iterations=5, T_max=1000, T_min=0.001, alpha=0.99, neighbours checked=95 => result=631
iterations=5, T_max=1000, T_min=0.001, alpha=0.999, neighbours checked=95 => result=591
iterations=5, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=85 => result=588
iterations=5, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=85 => result=565
iterations=5, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=85 => result=522
iterations=5, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=85 => result=536
iterations=5, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=95 => result=561
iterations=5, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=95 => result=664
iterations=5, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=95 => result=695
iterations=5, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=95 => result=537
iterations=5, T_max=10000, T_min=0.001, alpha=0.9, neighbours checked=105 => result=547
iterations=5, T_max=10000, T_min=0.001, alpha=0.95, neighbours checked=105 => result=568
iterations=5, T_max=10000, T_min=0.001, alpha=0.99, neighbours checked=105 => result=601
iterations=5, T_max=10000, T_min=0.001, alpha=0.999, neighbours checked=105 => result=612
iterations=5, T_max=100000, T_min=0.1, alpha=0.9, neighbours checked=95 => result=592
iterations=5, T_max=100000, T_min=0.1, alpha=0.95, neighbours checked=95 => result=634
iterations=5, T_max=100000, T_min=0.1, alpha=0.99, neighbours checked=95 => result=701
iterations=5, T_max=100000, T_min=0.1, alpha=0.999, neighbours checked=95 => result=609
iterations=5, T_max=100000, T_min=0.01, alpha=0.9, neighbours checked=105 => result=614
iterations=5, T_max=100000, T_min=0.01, alpha=0.95, neighbours checked=105 => result=657
iterations=5, T_max=100000, T_min=0.01, alpha=0.99, neighbours checked=105 => result=606
iterations=5, T_max=100000, T_min=0.01, alpha=0.999, neighbours checked=105 => result=571
