
Report for ../Lab1Assigment1/knapsack-200.txt

Checking for geometric cooling different values
iterations=50, T_max=100, T_min=1, alpha=0.9, neighbours checked=2200 => result=132157
iterations=50, T_max=100, T_min=1, alpha=0.95, neighbours checked=4500 => result=132248
iterations=50, T_max=100, T_min=1, alpha=0.99, neighbours checked=22950 => result=130943
iterations=50, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=3300 => result=131029
iterations=50, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=6750 => result=131046
iterations=50, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=34400 => result=131700
iterations=50, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=4400 => result=132105
iterations=50, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=9000 => result=130867
iterations=50, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=45850 => result=132247
iterations=50, T_max=1000, T_min=1, alpha=0.9, neighbours checked=3300 => result=132136
iterations=50, T_max=1000, T_min=1, alpha=0.95, neighbours checked=6750 => result=132918
iterations=50, T_max=1000, T_min=1, alpha=0.99, neighbours checked=34400 => result=132728
iterations=50, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=4400 => result=131967
iterations=50, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=9000 => result=133138
iterations=50, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=45850 => result=133031
iterations=50, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=5500 => result=132677
iterations=50, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=11250 => result=132838
iterations=50, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=57300 => result=133248
iterations=50, T_max=10000, T_min=1, alpha=0.9, neighbours checked=4400 => result=133636
iterations=50, T_max=10000, T_min=1, alpha=0.95, neighbours checked=9000 => result=132311
iterations=50, T_max=10000, T_min=1, alpha=0.99, neighbours checked=45850 => result=133437
iterations=50, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=5500 => result=133644
iterations=50, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=11250 => result=133547
iterations=50, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=57300 => result=133620
iterations=50, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=6600 => result=132389
iterations=50, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=13500 => result=133239
iterations=50, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=68750 => result=134038
iterations=100, T_max=100, T_min=1, alpha=0.9, neighbours checked=4400 => result=131632
iterations=100, T_max=100, T_min=1, alpha=0.95, neighbours checked=9000 => result=132699
iterations=100, T_max=100, T_min=1, alpha=0.99, neighbours checked=45900 => result=131723
iterations=100, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=6600 => result=133214
iterations=100, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=13500 => result=133044
iterations=100, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=68800 => result=132823
iterations=100, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=8800 => result=131228
iterations=100, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=18000 => result=132516
iterations=100, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=91700 => result=132233
iterations=100, T_max=1000, T_min=1, alpha=0.9, neighbours checked=6600 => result=133337
iterations=100, T_max=1000, T_min=1, alpha=0.95, neighbours checked=13500 => result=133038
iterations=100, T_max=1000, T_min=1, alpha=0.99, neighbours checked=68800 => result=133844
iterations=100, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=8800 => result=132231
iterations=100, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=18000 => result=133389
iterations=100, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=91700 => result=133630
iterations=100, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=11000 => result=132407
iterations=100, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=22500 => result=133148
iterations=100, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=114600 => result=132919
iterations=100, T_max=10000, T_min=1, alpha=0.9, neighbours checked=8800 => result=133390
iterations=100, T_max=10000, T_min=1, alpha=0.95, neighbours checked=18000 => result=133678
iterations=100, T_max=10000, T_min=1, alpha=0.99, neighbours checked=91700 => result=134025
iterations=100, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=11000 => result=133026
iterations=100, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=22500 => result=133846
iterations=100, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=114600 => result=133285
iterations=100, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=13200 => result=132918
iterations=100, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=27000 => result=133042
iterations=100, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=137500 => result=134025
iterations=200, T_max=100, T_min=1, alpha=0.9, neighbours checked=8800 => result=131124
iterations=200, T_max=100, T_min=1, alpha=0.95, neighbours checked=18000 => result=132729
iterations=200, T_max=100, T_min=1, alpha=0.99, neighbours checked=91800 => result=131746
iterations=200, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=13200 => result=131948
iterations=200, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=27000 => result=133044
iterations=200, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=137600 => result=130843
iterations=200, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=17600 => result=132740
iterations=200, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=36000 => result=133245
iterations=200, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=183400 => result=132602
