
Report for ../Lab3Assigment3/berlin52.tsp

Checking for order crossover different values
iterations=100, population=20, elite=3, crossover=order => result=8315.11
iterations=100, population=20, elite=5, crossover=order => result=7991.98
iterations=100, population=20, elite=10, crossover=order => result=8344.85
iterations=100, population=50, elite=3, crossover=order => result=8256.30
iterations=100, population=50, elite=5, crossover=order => result=8251.65
iterations=100, population=50, elite=10, crossover=order => result=8071.62
iterations=100, population=100, elite=3, crossover=order => result=7829.42
iterations=100, population=100, elite=5, crossover=order => result=7702.45
iterations=100, population=100, elite=10, crossover=order => result=7650.50
iterations=500, population=20, elite=3, crossover=order => result=8099.08
iterations=500, population=20, elite=5, crossover=order => result=7991.46
iterations=500, population=20, elite=10, crossover=order => result=7909.33
iterations=500, population=50, elite=3, crossover=order => result=8101.21
iterations=500, population=50, elite=5, crossover=order => result=7985.78
iterations=500, population=50, elite=10, crossover=order => result=8038.70
iterations=500, population=100, elite=3, crossover=order => result=7723.70
iterations=500, population=100, elite=5, crossover=order => result=7792.28
iterations=500, population=100, elite=10, crossover=order => result=7598.44
iterations=1000, population=20, elite=3, crossover=order => result=8264.68
iterations=1000, population=20, elite=5, crossover=order => result=8020.37
iterations=1000, population=20, elite=10, crossover=order => result=8151.81
iterations=1000, population=50, elite=3, crossover=order => result=8044.85
iterations=1000, population=50, elite=5, crossover=order => result=8051.15
iterations=1000, population=50, elite=10, crossover=order => result=8051.15
iterations=1000, population=100, elite=3, crossover=order => result=7598.44
iterations=1000, population=100, elite=5, crossover=order => result=7598.44
iterations=1000, population=100, elite=10, crossover=order => result=7544.37
iterations=2500, population=20, elite=3, crossover=order => result=8056.83
iterations=2500, population=20, elite=5, crossover=order => result=8026.66
iterations=2500, population=20, elite=10, crossover=order => result=7940.14
iterations=2500, population=50, elite=3, crossover=order => result=7985.78
iterations=2500, population=50, elite=5, crossover=order => result=8051.15
iterations=2500, population=50, elite=10, crossover=order => result=8018.36
iterations=2500, population=100, elite=3, crossover=order => result=7544.37
iterations=2500, population=100, elite=5, crossover=order => result=7544.37
iterations=2500, population=100, elite=10, crossover=order => result=7606.95

Checking for pmx crossover different values
iterations=100, population=20, elite=3, crossover=pmx => result=8615.98
iterations=100, population=20, elite=5, crossover=pmx => result=8514.16
iterations=100, population=20, elite=10, crossover=pmx => result=8341.90
iterations=100, population=50, elite=3, crossover=pmx => result=8323.43
iterations=100, population=50, elite=5, crossover=pmx => result=8093.87
iterations=100, population=50, elite=10, crossover=pmx => result=7991.46
iterations=100, population=100, elite=3, crossover=pmx => result=7769.76
iterations=100, population=100, elite=5, crossover=pmx => result=7582.80
iterations=100, population=100, elite=10, crossover=pmx => result=7549.89
iterations=500, population=20, elite=3, crossover=pmx => result=8039.98
iterations=500, population=20, elite=5, crossover=pmx => result=7992.10
iterations=500, population=20, elite=10, crossover=pmx => result=7962.49
iterations=500, population=50, elite=3, crossover=pmx => result=8204.49
iterations=500, population=50, elite=5, crossover=pmx => result=8051.15
iterations=500, population=50, elite=10, crossover=pmx => result=8018.36
iterations=500, population=100, elite=3, crossover=pmx => result=7544.37
iterations=500, population=100, elite=5, crossover=pmx => result=7544.37
iterations=500, population=100, elite=10, crossover=pmx => result=7598.44
iterations=1000, population=20, elite=3, crossover=pmx => result=7800.34
iterations=1000, population=20, elite=5, crossover=pmx => result=8114.35
iterations=1000, population=20, elite=10, crossover=pmx => result=7800.67
iterations=1000, population=50, elite=3, crossover=pmx => result=7908.36
iterations=1000, population=50, elite=5, crossover=pmx => result=7985.78
iterations=1000, population=50, elite=10, crossover=pmx => result=8062.86
iterations=1000, population=100, elite=3, crossover=pmx => result=7713.03
iterations=1000, population=100, elite=5, crossover=pmx => result=7544.37
iterations=1000, population=100, elite=10, crossover=pmx => result=7544.37
iterations=2500, population=20, elite=3, crossover=pmx => result=7991.46
iterations=2500, population=20, elite=5, crossover=pmx => result=7991.46
iterations=2500, population=20, elite=10, crossover=pmx => result=8108.93
iterations=2500, population=50, elite=3, crossover=pmx => result=8108.93
iterations=2500, population=50, elite=5, crossover=pmx => result=8141.25
iterations=2500, population=50, elite=10, crossover=pmx => result=7992.57
iterations=2500, population=100, elite=3, crossover=pmx => result=7544.37
iterations=2500, population=100, elite=5, crossover=pmx => result=7544.37
iterations=2500, population=100, elite=10, crossover=pmx => result=7598.44
