
Report for ../Lab3Assigment3/rw1621.tsp

Checking for order crossover different values
iterations=50, population=10, elite=3, crossover=order => result=32276.67
iterations=50, population=10, elite=5, crossover=order => result=32276.67
iterations=50, population=10, elite=10, crossover=order => result=32276.67
iterations=50, population=20, elite=3, crossover=order => result=32276.67
iterations=50, population=20, elite=5, crossover=order => result=32276.67
iterations=50, population=20, elite=10, crossover=order => result=32276.67
iterations=50, population=30, elite=3, crossover=order => result=32276.67
iterations=50, population=30, elite=5, crossover=order => result=32276.67
iterations=50, population=30, elite=10, crossover=order => result=32276.67
iterations=100, population=10, elite=3, crossover=order => result=32248.81
iterations=100, population=10, elite=5, crossover=order => result=32276.67
iterations=100, population=10, elite=10, crossover=order => result=32276.67
iterations=100, population=20, elite=3, crossover=order => result=32276.67
iterations=100, population=20, elite=5, crossover=order => result=32258.05
iterations=100, population=20, elite=10, crossover=order => result=32276.67
iterations=100, population=30, elite=3, crossover=order => result=32175.76
iterations=100, population=30, elite=5, crossover=order => result=32272.36
iterations=100, population=30, elite=10, crossover=order => result=32259.55
iterations=200, population=10, elite=3, crossover=order => result=32276.67
iterations=200, population=10, elite=5, crossover=order => result=32195.19
iterations=200, population=10, elite=10, crossover=order => result=32276.67
iterations=200, population=20, elite=3, crossover=order => result=32254.43
iterations=200, population=20, elite=5, crossover=order => result=32244.49
iterations=200, population=20, elite=10, crossover=order => result=32129.34
iterations=200, population=30, elite=3, crossover=order => result=32207.02
iterations=200, population=30, elite=5, crossover=order => result=32255.86
iterations=200, population=30, elite=10, crossover=order => result=32276.67

Checking for pmx crossover different values
iterations=50, population=10, elite=3, crossover=pmx => result=32276.67
iterations=50, population=10, elite=5, crossover=pmx => result=32276.67
iterations=50, population=10, elite=10, crossover=pmx => result=32276.67
iterations=50, population=20, elite=3, crossover=pmx => result=32276.67
iterations=50, population=20, elite=5, crossover=pmx => result=32276.67
iterations=50, population=20, elite=10, crossover=pmx => result=32276.67
iterations=50, population=30, elite=3, crossover=pmx => result=32276.67
iterations=50, population=30, elite=5, crossover=pmx => result=32276.67
iterations=50, population=30, elite=10, crossover=pmx => result=32276.67
iterations=100, population=10, elite=3, crossover=pmx => result=32264.65
iterations=100, population=10, elite=5, crossover=pmx => result=32276.67
iterations=100, population=10, elite=10, crossover=pmx => result=32276.67
iterations=100, population=20, elite=3, crossover=pmx => result=32276.67
iterations=100, population=20, elite=5, crossover=pmx => result=32274.58
iterations=100, population=20, elite=10, crossover=pmx => result=32276.67
iterations=100, population=30, elite=3, crossover=pmx => result=32072.43
iterations=100, population=30, elite=5, crossover=pmx => result=32205.44
iterations=100, population=30, elite=10, crossover=pmx => result=32269.17
iterations=200, population=10, elite=3, crossover=pmx => result=32242.35
iterations=200, population=10, elite=5, crossover=pmx => result=32276.67
iterations=200, population=10, elite=10, crossover=pmx => result=32276.67
iterations=200, population=20, elite=3, crossover=pmx => result=32223.05
iterations=200, population=20, elite=5, crossover=pmx => result=32276.67
iterations=200, population=20, elite=10, crossover=pmx => result=32276.67
iterations=200, population=30, elite=3, crossover=pmx => result=32155.54
iterations=200, population=30, elite=5, crossover=pmx => result=32202.00
iterations=200, population=30, elite=10, crossover=pmx => result=32194.63
